Main Features,Resolution,Model,Specification,"≥200pcs
USD/SET", UNIT COST IN NAIRA , UNIT COST OF SHIPMENT , TOTAL COST , RESELLER MARK-UP15% , TSI MARK-UP-25 , END-USER MARK-UP-35% , 19% RS , 21% RS , 23% RS , SUNDAY ONU PRICE-SILVER , SILVER , BRONZE , PLATINUM , RESELLER PRICE , TSI PRICE ,7.40%,  EU PRICE 
"2MP Bullet  IP Camera POE
IR LED: 12µ x18PCS
IR range: 25M
Board Len 4mm/F2.0
Case:Plastic 
Ingress Protection:IP66                                                                          ",H.265 2MP,JVS-N815-YWC,"1/2.9"" GC 3.0MP CMOS  
MainStream: 3MP; HD Lens, With IR-CUT Starlight",16.50," 12,210.00 "," 2,075.70 "," 14,285.70 "," 2,142.86 "," 3,571.43 "," 5,000.00 "," 2,285.71 "," 2,000.00 "," 1,714.28 "," 16,571.41 "," 17,742.84 "," 16,971.41 "," 16,392.84 "," 16,428.56 "," 17,857.13 "," 17,858.55 "," 19,285.70 "
"3MP Dome Indoor IP Camera
IR LED: 12µ x18PCS
IR range: 25M
Board Len 4mm/F2.0
Case:Plastic   
Ingress Protection:IP54                                                                        ",H.265 3MP,JVS-N933-YWC,"1/2.9"" GC 3.0MP CMOS  
MainStream: 3MP; HD Lens, With IR-CUT Starlight",16.00," 11,840.00 "," 2,012.80 "," 13,852.80 "," 2,077.92 "," 3,463.20 "," 4,848.48 "," 2,216.45 "," 1,939.39 "," 1,662.34 "," 16,069.25 "," 17,205.18 "," 16,457.13 "," 15,896.09 "," 15,930.72 "," 17,316.00 "," 17,317.39 "," 18,701.28 "
"3MP Bullet  IP Camera
IR LED: 12µ x18PCS
IR range: 25M
Board Len 4mm/F2.0
Case:Plastic 
Ingress Protection:IP66                                                                         ",H.265 3MP,JVS-N913-YWC,"1/2.9"" GC 3.0MP CMOS  
MainStream: 3MP; HD Lens, With IR-CUT Starlight",17.00," 12,580.00 "," 2,138.60 "," 14,718.60 "," 2,207.79 "," 3,679.65 "," 5,151.51 "," 2,354.98 "," 2,060.60 "," 1,766.23 "," 17,073.58 "," 18,280.50 "," 17,485.70 "," 16,889.59 "," 16,926.39 "," 18,398.25 "," 18,399.72 "," 19,870.11 "
"3.0MP Full-Color Video & Audio PoE Network Camera
LED: 2 White LEDs +2 IR LEDs
IR range: 20M
Board Len 3.6/6mm/F2.0
Case:Metal 
Built-in Mic
Built-in PoE
Ingress Protection:IP67                          ",H.265 3MP,JVS-N916-YDL,"1/2.9"" CMOS Sensor
MainStream: 3MP; HD Lens, With IR-CUT Full-Color,With Jovision unique VQC (Video Quality Catalyst) Technology",21.00," 15,540.00 "," 2,641.80 "," 18,181.80 "," 2,727.27 "," 4,545.45 "," 6,363.63 "," 2,909.09 "," 2,545.45 "," 2,181.82 "," 21,090.89 "," 22,581.80 "," 21,599.98 "," 20,863.62 "," 20,909.07 "," 22,727.25 "," 22,729.07 "," 24,545.43 "
"5.0MP Full-Color Video & Audio PoE Network Camera
LED: 2 White LEDs +2 IR LEDs
IR range: 20M
Board Len 3.6/6mm/F2.0
Case:Metal 
Built-in Mic
Built-in PoE
Ingress Protection:IP67",H.265 5MP,JVS-N516-YDL,"1/3"" CMOS Sensor
MainStream: 3MP; HD Lens, With IR-CUT Full-Color, With Jovision unique VQC (Video Quality Catalyst) Technology",27.00," 19,980.00 "," 3,396.60 "," 23,376.60 "," 3,506.49 "," 5,844.15 "," 8,181.81 "," 3,740.26 "," 3,272.72 "," 2,805.19 "," 27,116.86 "," 29,033.74 "," 27,771.40 "," 26,824.65 "," 26,883.09 "," 29,220.75 "," 29,223.09 "," 31,558.41 "
"3.0MP Full-Color Video & Audio PoE Network Camera
LED: 4 White LEDs + 4 IR LEDs
IR range: 50M
Board Len 3.6/6mm/F2.0
Case:Plastic 
Built-in Mic and Speaker
Light indicator for network status
Built-in PoE
Ingress Protection:IP67                          ",H.265 3MP,JVS-N917-SDL,"1/2.9"" CMOS Sensor
MainStream: 3MP; HD Lens, With IR-CUT Full-Color,With Jovision unique VQC (Video Quality Catalyst) Technology",20.50," 15,170.00 "," 2,578.90 "," 17,748.90 "," 2,662.34 "," 4,437.23 "," 6,212.12 "," 2,839.82 "," 2,484.85 "," 2,129.87 "," 20,588.72 "," 22,044.13 "," 21,085.69 "," 20,366.86 "," 20,411.24 "," 22,186.13 "," 22,187.90 "," 23,961.02 "
"5.0MP Full-Color Video & Audio PoE Network Camera
LED: 4 White LEDs + 4 IR LEDs
IR range: 50M
Board Len 3.6/6mm/F2.0
Case:Plastic 
Built-in Mic and Speaker
Light indicator for network status
Built-in PoE
Support SD card up to 128GB
Ingress Protection:IP67                          ",H.265 5MP,JVS-N517-SDL,"1/3"" CMOS Sensor
MainStream:5MP; HD Lens, With IR-CUT Full-Color,With Jovision unique VQC (Video Quality Catalyst) Technology",25.00," 18,500.00 "," 3,145.00 "," 21,645.00 "," 3,246.75 "," 5,411.25 "," 7,575.75 "," 3,463.20 "," 3,030.30 "," 2,597.40 "," 25,108.20 "," 26,883.09 "," 25,714.26 "," 24,837.64 "," 24,891.75 "," 27,056.25 "," 27,058.41 "," 29,220.75 "
"3.0MP Full-Color Video & Audio PoE Network Camera
LED: 1 Warm LEDs + 1 IR LEDs
IR range: 30M
Board Len 2.8/3.6mm/F1.6
Case:Plastic +Metal  
Built-in Mic and Speaker
Light indicator for network status
Built-in PoE
Support SD card up to 128GB
Ingress Protection:IP67                          ",H.265 3MP,JVS-N937-SDL,"1/3"" CMOS Sensor
MainStream:5MP; HD Lens, With IR-CUT Full-Color,With Jovision unique VQC (Video Quality Catalyst) Technology",23.00," 17,020.00 "," 2,893.40 "," 19,913.40 "," 2,987.01 "," 4,978.35 "," 6,969.69 "," 3,186.14 "," 2,787.88 "," 2,389.61 "," 23,099.54 "," 24,732.44 "," 23,657.12 "," 22,850.63 "," 22,900.41 "," 24,891.75 "," 24,893.74 "," 26,883.09 "
"5.0MP Full-Color Video & Audio PoE Network Camera
LED: 1 Warm LEDs + 1 IR LEDs
IR range: 30M
Board Len 2.8/3.6mm/F1.6
Case:Plastic + Metal 
Built-in Mic and Speaker
Light indicator for network status
Built-in PoE
Support SD card up to 128GB
Ingress Protection:IP67                          ",H.265 5MP,JVS-N537-SDL,"1/3"" CMOS Sensor
MainStream:5MP; HD Lens, With IR-CUT Full-Color,With Jovision unique VQC (Video Quality Catalyst) Technology",27.00," 19,980.00 "," 3,396.60 "," 23,376.60 "," 3,506.49 "," 5,844.15 "," 8,181.81 "," 3,740.26 "," 3,272.72 "," 2,805.19 "," 27,116.86 "," 29,033.74 "," 27,771.40 "," 26,824.65 "," 26,883.09 "," 29,220.75 "," 29,223.09 "," 31,558.41 "
"3MP Bullet Starlight Audio IP Camera
IR LED: 28 µx4PCS
Board Len 4mm/F2.0
Case:Plastic 
Ingress Protection:IP67                                                                           
Built-in Microphone",H.265 3MP,JVS-N913-K1,"1/2.9"" GC 3.0MP CMOS  
Resolution 2304x1296@25fps;
With IR-CUT, Starlight",15.50," 11,470.00 "," 1,949.90 "," 13,419.90 "," 2,012.99 "," 3,354.98 "," 4,696.97 "," 2,147.18 "," 1,878.79 "," 1,610.39 "," 15,567.08 "," 16,667.52 "," 15,942.84 "," 15,399.34 "," 15,432.89 "," 16,774.88 "," 16,776.22 "," 18,116.87 "
