id,main_features,resolution,model,specification,usd_per_set,unit_cost_in_naira,unit_shipment_cost,total_cost_in_naira,reseller_markup15,tsi_markup15,end_user_markup35,t_19rs,t_21rs,t_23rs,sunday_onu_silver,silver_dp,bronze_dp,platinum_dp,reseller_p,tsi_p,seven7dot4ns_rp,eu_price
1,"2MP Bullet  IP Camera POE
IR LED: 12µ x18PCS
IR range: 25M
Board Len 4mm/F2.0
Case:Plastic 
Ingress Protection:IP66                                                                          ",H.265 2MP,JVS-N815-YWC,"1/2.9"" GC 3.0MP CMOS  
MainStream: 3MP; HD Lens, With IR-CUT Starlight",16.5,24750.0,74250.0,99000.0,14850.0,24750.0,34650.0,15840.0,13860.000000000002,11880.0,114840.0,122958.0,117612.0,113602.5," 16,428.56 "," 17,857.13 ",123893.55,133650.0
2,"3MP Dome Indoor IP Camera
IR LED: 12µ x18PCS
IR range: 25M
Board Len 4mm/F2.0
Case:Plastic   
Ingress Protection:IP54                                                                        ",H.265 3MP,JVS-N933-YWC,"1/2.9"" GC 3.0MP CMOS  
MainStream: 3MP; HD Lens, With IR-CUT Starlight",16.0,24000.0,72000.0,96000.0,14400.0,24000.0,33600.0,15360.0,13440.000000000002,11520.0,111360.0,119232.0,114048.0,110160.0," 15,930.72 "," 17,316.00 ",120139.20000000001,129600.0
3,"3MP Bullet  IP Camera
IR LED: 12µ x18PCS
IR range: 25M
Board Len 4mm/F2.0
Case:Plastic 
Ingress Protection:IP66                                                                         ",H.265 3MP,JVS-N913-YWC,"1/2.9"" GC 3.0MP CMOS  
MainStream: 3MP; HD Lens, With IR-CUT Starlight",17.0,25500.0,76500.0,102000.0,15300.0,25500.0,35700.0,16320.0,14280.000000000002,12240.0,118320.0,126684.0,121176.0,117045.0," 16,926.39 "," 18,398.25 ",127647.90000000001,137700.0
4,"3.0MP Full-Color Video & Audio PoE Network Camera
LED: 2 White LEDs +2 IR LEDs
IR range: 20M
Board Len 3.6/6mm/F2.0
Case:Metal 
Built-in Mic
Built-in PoE
Ingress Protection:IP67                          ",H.265 3MP,JVS-N916-YDL,"1/2.9"" CMOS Sensor
MainStream: 3MP; HD Lens, With IR-CUT Full-Color,With Jovision unique VQC (Video Quality Catalyst) Technology",21.0,31500.0,94500.0,126000.0,18900.0,31500.0,44100.0,20160.0,17640.0,15120.0,146160.0,156492.0,149688.0,144585.0," 20,909.07 "," 22,727.25 ",157682.7,170100.0
5,"5.0MP Full-Color Video & Audio PoE Network Camera
LED: 2 White LEDs +2 IR LEDs
IR range: 20M
Board Len 3.6/6mm/F2.0
Case:Metal 
Built-in Mic
Built-in PoE
Ingress Protection:IP67",H.265 5MP,JVS-N516-YDL,"1/3"" CMOS Sensor
MainStream: 3MP; HD Lens, With IR-CUT Full-Color, With Jovision unique VQC (Video Quality Catalyst) Technology",27.0,40500.0,121500.0,162000.0,24300.0,40500.0,56700.0,25920.0,22680.000000000004,19440.0,187920.0,201204.0,192456.0,185895.0," 26,883.09 "," 29,220.75 ",202734.90000000002,218700.0
6,"3.0MP Full-Color Video & Audio PoE Network Camera
LED: 4 White LEDs + 4 IR LEDs
IR range: 50M
Board Len 3.6/6mm/F2.0
Case:Plastic 
Built-in Mic and Speaker
Light indicator for network status
Built-in PoE
Ingress Protection:IP67                          ",H.265 3MP,JVS-N917-SDL,"1/2.9"" CMOS Sensor
MainStream: 3MP; HD Lens, With IR-CUT Full-Color,With Jovision unique VQC (Video Quality Catalyst) Technology",20.5,30750.0,92250.0,123000.0,18450.0,30750.0,43050.0,19680.0,17220.0,14760.0,142680.0,152766.0,146124.0,141142.5," 20,411.24 "," 22,186.13 ",153928.35,166050.0
7,"5.0MP Full-Color Video & Audio PoE Network Camera
LED: 4 White LEDs + 4 IR LEDs
IR range: 50M
Board Len 3.6/6mm/F2.0
Case:Plastic 
Built-in Mic and Speaker
Light indicator for network status
Built-in PoE
Support SD card up to 128GB
Ingress Protection:IP67                          ",H.265 5MP,JVS-N517-SDL,"1/3"" CMOS Sensor
MainStream:5MP; HD Lens, With IR-CUT Full-Color,With Jovision unique VQC (Video Quality Catalyst) Technology",25.0,37500.0,112500.0,150000.0,22500.0,37500.0,52500.0,24000.0,21000.000000000004,18000.0,174000.0,186300.0,178200.0,172125.0," 24,891.75 "," 27,056.25 ",187717.5,202500.0
8,"3.0MP Full-Color Video & Audio PoE Network Camera
LED: 1 Warm LEDs + 1 IR LEDs
IR range: 30M
Board Len 2.8/3.6mm/F1.6
Case:Plastic +Metal  
Built-in Mic and Speaker
Light indicator for network status
Built-in PoE
Support SD card up to 128GB
Ingress Protection:IP67                          ",H.265 3MP,JVS-N937-SDL,"1/3"" CMOS Sensor
MainStream:5MP; HD Lens, With IR-CUT Full-Color,With Jovision unique VQC (Video Quality Catalyst) Technology",23.0,34500.0,103500.0,138000.0,20700.0,34500.0,48300.0,22080.0,19320.000000000004,16560.0,160080.0,171396.0,163944.0,158355.0," 22,900.41 "," 24,891.75 ",172700.1,186300.0
9,"5.0MP Full-Color Video & Audio PoE Network Camera
LED: 1 Warm LEDs + 1 IR LEDs
IR range: 30M
Board Len 2.8/3.6mm/F1.6
Case:Plastic + Metal 
Built-in Mic and Speaker
Light indicator for network status
Built-in PoE
Support SD card up to 128GB
Ingress Protection:IP67                          ",H.265 5MP,JVS-N537-SDL,"1/3"" CMOS Sensor
MainStream:5MP; HD Lens, With IR-CUT Full-Color,With Jovision unique VQC (Video Quality Catalyst) Technology",27.0,40500.0,121500.0,162000.0,24300.0,40500.0,56700.0,25920.0,22680.000000000004,19440.0,187920.0,201204.0,192456.0,185895.0," 26,883.09 "," 29,220.75 ",202734.90000000002,218700.0
10,"3MP Bullet Starlight Audio IP Camera
IR LED: 28 µx4PCS
Board Len 4mm/F2.0
Case:Plastic 
Ingress Protection:IP67                                                                           
Built-in Microphone",H.265 3MP,JVS-N913-K1,"1/2.9"" GC 3.0MP CMOS  
Resolution 2304x1296@25fps;
With IR-CUT, Starlight",15.5,23250.0,69750.0,93000.0,13950.0,23250.0,32549.999999999996,14880.0,13020.000000000002,11160.0,107880.0,115506.0,110484.0,106717.5," 15,432.89 "," 16,774.88 ",116384.85,125550.0
